verb,label
καταπέτομαι,mp
περιμαιμάω,mp
ἱλάσκομαι,mp
φέβομαι,mp
ἀποσκίδναμαι,mp
μεθορμάομαι,mp
πρόσκειμαι,mp
ἐπιμιμνήσκομαι,mp
διαδηλέομαι,mp
ὑπεράλλομαι,mp
περιχώομαι,mp
ἀμφιμάχομαι,mp
ὑποκλίνομαι,mp
γείνομαι,mp
λιάζομαι,mp
ἀπολιχμάομαι,mp
λίσσομαι,mp
παρέρχομαι,mp
ἀμφιδινέομαι,mp
ὑπομνάομαι,mp
ἐξαναδύομαι,mp
μετανίσσομαι,mp
μηχανάομαι,mp
ἡγέομαι,mp
ἐπιρρώομαι,mp
ἐπιμαίομαι,mp
ἀποπέτομαι,mp
περιγίγνομαι,mp
ἀγκάζομαι,mp
ἐπίκειμαι,mp
ἐκδέρκομαι,mp
κάθημαι,mp
ἀμφιστρατάομαι,mp
ἐλεφαίρομαι,mp
ἀπέρχομαι,mp
ἀπομιμνήσκομαι,mp
ἐγγίγνομαι,mp
μαίνομαι,mp
μητίομαι,mp
ἐρυθαίνομαι,mp
στιχάομαι,mp
γάνυμαι,mp
βούλομαι,mp
ἐπιμάσσομαι,mp
μέδομαι,mp
ἀνερείπομαι,mp
καταδέομαι,mp
νοσφίζομαι,mp
προκαλίζομαι,mp
ὀπίζομαι,mp
ἱππάζομαι,mp
ἀμφιπένομαι,mp
μαίομαι,mp
ὑποθωρήσσομαι,mp
παράκειμαι,mp
τοξάζομαι,mp
εἰσπέτομαι,mp
ἐγκατατίθεμαι,mp
στεῦμαι,mp
προμάχομαι,mp
γίγνομαι,mp
σφαραγέομαι,mp
περιπροχέομαι,mp
λιλαίομαι,mp
μηρύομαι,mp
ὀδύσσομαι,mp
προσμυθέομαι,mp
δεδίσκομαι,mp
ἀπαίνυμαι,mp
περικήδομαι,mp
πληκτίζομαι,mp
πρίαμαι,mp
μετέρχομαι,mp
ἐπαλάομαι,mp
ἱλάομαι,mp
σκέπτομαι,mp
ἠγερέθομαι,mp
παρέζομαι,mp
βεβόλημαι,mp
ἄλθομαι,mp
αὐλίζομαι,mp
περιφαίνομαι,mp
ἐπέλπομαι,mp
ἐμπάζομαι,mp
χράομαι,mp
καίνυμαι,mp
διασκοπιάομαι,mp
ὑπισχνέομαι,mp
ἄρνυμαι,mp
τεκμαίρομαι,mp
ἐρύομαι,mp
ἐποίχομαι,mp
ἰνδάλλομαι,mp
καταράομαι,mp
ἐπιτέρπομαι,mp
διαδέρκομαι,mp
ἐπιμήδομαι,mp
ἔγκειμαι,mp
ἀπαλθαίνομαι,mp
ὑπαλεύομαι,mp
καταδέρκομαι,mp
ὁμηγυρίζομαι,mp
βέομαι,mp
γουνάζομαι,mp
πλίσσομαι,mp
ὑποκλοπέομαι,mp
ἀποίχομαι,mp
ἐπισκύζομαι,mp
ὑποδάμναμαι,mp
νεμεσίζομαι,mp
περιδίδομαι,mp
ἀμφιπεριστέφομαι,mp
ναυτίλλομαι,mp
ἔρχομαι,mp
ἐξάλλομαι,mp
σκύζομαι,mp
ἥδομαι,mp
μεθάλλομαι,mp
τάνυμαι,mp
ῥύσκομαι,mp
ἔλδομαι,mp
κεῖμαι,mp
μυθέομαι,mp
ὑπερπέτομαι,mp
ἀφικνέομαι,mp
ἐπιγίγνομαι,mp
ἀλαλύκτημαι,mp
ἀλάλημαι,mp
τορνόομαι,mp
ἐξακέομαι,mp
θάομαι,mp
φθέγγομαι,mp
πλήσσω,opp
ἐκκαθαίρω,opp
ἵκω,opp
ἀελπτέω,opp
τρομέω,opp
περιπλέκω,opp
κλοτοπεύω,opp
αὐδάω,opp
στείχω,opp
χρῄζω,opp
μητιάω,opp
μοχθέω,opp
μενεαίνω,opp
φθινύθω,opp
ἀγυρτάζω,opp
κιρνάω,opp
ἐλεαίρω,opp
ἐπιπλήσσω,opp
ἀπολούω,opp
ἀσχαλάω,opp
διασκίδνημι,opp
ἐμμεμαώς,opp
ἐκφαίνω,opp
ἐκπτύω,opp
εἰκός,opp
ἐκπάλλω,opp
δεύω,opp
ἐπιπροίημι,opp
μιμνήσκω,opp
δραίνω,opp
πειράζω,opp
εὐφημέω,opp
νοέω,opp
ταρχύω,opp
παιφάσσω,opp
πιέζω,opp
φράζω,opp
πύθω,opp
διερέσσω,opp
κυκλέω,opp
ὑποστορέννυμι,opp
ἀλύω,opp
ἐναρίζω,opp
κατάγω,opp
ἀραβέω,opp
καταμάω,opp
ἀφορμάω,opp
σφάλλω,opp
ἀναπάλλω,opp
ἐπικλείω,opp
ἀπαλέξω,opp
ἀνέλκω,opp
λιστρεύω,opp
τροπέω,opp
ἱδρόω,opp
ἀμφιβάλλω,opp
λανθάνω,opp
ἐπιρρέζω,opp
ἐνθρῴσκω,opp
λύω,opp
ζῶ,opp
ἐπιτρέπω,opp
πέμπω,opp
ἐξανύω,opp
ἀπειλέω,opp
κατέχω,opp
ἀποτρέπω,opp
ἀπινύσσω,opp
ὑπαίσσω,opp
βαρύθω,opp
ἄγχω,opp
ὑποπίπτω,opp
ἐφαρμόζω,opp
μεδέων,opp
ἱζάνω,opp
κοναβίζω,opp
πατέω,opp
ἀπόμνυμι,opp
ταράσσω,opp
κυδαίνω,opp
σπέρχω,opp
γελάω,opp
ἀποκινέω,opp
παραβλώσκω,opp
βαμβαίνω,opp
ἀχλύω,opp
φυσάω,opp
ἀντιάζω,opp
ἀποδύνω,opp
ἀφήκω,opp
δράω,opp
ἐκπαιφάσσω,opp
ἐπικραίνω,opp
καθίστημι,opp
ἀπογυμνόω,opp
ἀπομηνίω,opp
βιβάω,opp
ἐλαστρέω,opp
ἐρωέω,opp
ἴσχω,opp
ξαίνω,opp
ἐξεμέω,opp
προνοέω,opp
μετατίθημι,opp
ἀντέχω,opp
εἰσεῖδον,opp
ἀσκέω,opp
τείρω,opp
λαμβάνω,opp
ἰδίω,opp
ὁρμίζω,opp
ἐνόρνυμι,opp
ἐνθρώσκω,opp
μετοκλάζω,opp
ἀποπροτέμνω,opp
κομάω,opp
ἐφάπτω,opp
εἰσακούω,opp
παρασφάλλω,opp
φορύνω,opp
στάζω,opp
τετευχῆσθαι,opp
ἀποστείχω,opp
διασκεδάννυμι,opp
μεταίζω,opp
ἀτίζω,opp
κλέπτω,opp
δουπέω,opp
δειροτομέω,opp
εἰσοράω,opp
ἐμβαίνω,opp
εἰσθρῴσκω,opp
ἀποφθίνω,opp
καγχαλάω,opp
περιστρέφω,opp
εἶδον,opp
ἐρύω,opp
ἔργω,opp
κηρύσσω,opp
μεθίημι,opp
ἀγγέλλω,opp
περισαίνω,opp
ἐμβασιλεύω,opp
καταλείβω,opp
ἱδρύω,opp
κορέννυμι,opp
σαλπίζω,opp
διαβαίνω,opp
ἐπιχέω,opp
λείβω,opp
ἀσθμαίνω,opp
ἔργνυμι,opp
εἴσειμι,opp
κευθάνω,opp
δίζω,opp
γεφυρόω,opp
χανδάνω,opp
δορπέω,opp
διαφθείρω,opp
παραυδάω,opp
δίδωμι,opp
ἀναπαύω,opp
γηράσκω,opp
καταρρέω,opp
πυρακτέω,opp
παρατροπέω,opp
λιτανεύω,opp
νεμέθω,opp
ποθέω,opp
βαίνω,opp
ἀράω,opp
ἀναρρίπτω,opp
ὑπερβάλλω,opp
ἀνιάζω,opp
ἄρχω,opp
μετεῖπον,opp
ἐπιχρίω,opp
ἀνανεύω,opp
ἐπαμάω,opp
ἀναείρω,opp
ἀβροτάζω,opp
συμπλαταγέω,opp
ει´κω,opp
κρατέω,opp
ἐκχέω,opp
κατακείω,opp
νηέω,opp
ἔπειμι,opp
ὑδραίνω,opp
βρύω,opp
ἀποξύνω,opp
ὑπακούω,opp
φορύσσω,opp
συμμάρπτω,opp
ἰσοφαρίζω,opp
ἴσκω,opp
δοκέω,opp
ἀμφιέννυμι,opp
εἶμι,opp
διακλάω,opp
σμύχω,opp
προίημι,opp
ἐκδίδωμι,opp
ἀπορούω,opp
ἐπιλήθω,opp
κλονέω,opp
δηιόω,opp
παύω,opp
μιαίνω,opp
ἀμφαφάω,opp
κατίσχω,opp
ἀφρέω,opp
κικλήσκω,opp
ὑπερηφανέω,opp
παφλάζω,opp
περιτροπέω,opp
γαμέω,opp
ἀποσπένδω,opp
πεμπάζω,opp
διάγω,opp
ἐξαυδάω,opp
λοχάω,opp
ἀπουρίζω,opp
ἐπαρτύω,opp
ἐρεύθω,opp
χρή,opp
ἐκθνήσκω,opp
ὀρθόω,opp
φοιτάω,opp
οὐτάζω,opp
ἀπολείπω,opp
κλαίω,opp
καταχεύω,opp
εἴκω,opp
ἐλέγχω,opp
ἕρπω,opp
κωκύω,opp
παραβάλλω,opp
περιστείχω,opp
συμμαχέω,opp
κομπέω,opp
ἡγηλάζω,opp
διαθειόω,opp
πεδάω,opp
ἐκνοστέω,opp
κατερύω,opp
μεταλήγω,opp
ἀποπαπταίνω,opp
βλάπτω,opp
συντρέχω,opp
προβάλλω,opp
κλίνω,opp
φάω,opp
ἀτάλλω,opp
ὑποβάλλω,opp
ὀλιγηπελέων,opp
αὔω,opp
εἰμί,opp
αἴρω,opp
σιγάω,opp
ἔλπω,opp
ὑπεμνήμυκε,opp
πονέω,opp
ἐπέχω,opp
δεδοκημένος,opp
περάω,opp
ἀωτέω,opp
μεταβαίνω,opp
διαγλάφω,opp
κελεύω,opp
ἀναψύχω,opp
ἔχθω,opp
φυτεύω,opp
κεδάννυμι,opp
συγκλονέω,opp
εἰσαναβαίνω,opp
ἀπορρήγνυμι,opp
φθείρω,opp
θηλέω,opp
ἀηθέσσω,opp
ὑπερέπτω,opp
ὑπάρχω,opp
προστέρπω,opp
ἀφίημι,opp
ἀπεῖπον,opp
ἐίσκω,opp
διοιστεύω,opp
διοπτεύω,opp
ἰσχάνω,opp
βουκολέω,opp
ἀναίσσω,opp
ψηλαφάω,opp
διαρπάζω,opp
ἐπιθρῴσκω,opp
μορύσσω,opp
δέμω,opp
ἐκπέρθω,opp
γανόω,opp
ἀπέχω,opp
ἄημι,opp
ἀποσφάλλω,opp
ναίω,opp
μέλω,opp
ἐφοπλίζω,opp
οἰμάω,opp
ἀολλίζω,opp
ἀμάω,opp
ὑπερέχω,opp
ἐκκαλέω,opp
πυργόω,opp
ἐπαπειλέω,opp
ἀναλύω,opp
ἀτύζω,opp
ἐπιλεύσσω,opp
καταγηράσκω,opp
ἄλαλκε,opp
ξηραίνω,opp
θύνω,opp
τίω,opp
εἰλύω,opp
ἀναγνάμπτω,opp
πενθέω,opp
ἀμενηνόω,opp
τήκω,opp
διάημι,opp
ἐπιφέρω,opp
εἰσχέω,opp
ζέω,opp
ματεύω,opp
νέω,opp
ὀροθύνω,opp
ἀλαόω,opp
διεῖπον,opp
ἀμείβω,opp
βάλλω,opp
χάσκω,opp
ἑρπύζω,opp
ἀποξύω,opp
ἐκπρολείπω,opp
διαμετρέω,opp
ζεύγνυμι,opp
φρίσσω,opp
συνεέργω,opp
ἐξιθύνω,opp
φοβέω,opp
συνορίνω,opp
δάω,opp
ὑλάω,opp
λίγγω,opp
τέτμον,opp
ἀποβλύζω,opp
οἶδα,opp
παλαίω,opp
καταπλέω,opp
κροαίνω,opp
ὑφίημι,opp
σφάζω,opp
ἑλκυστάζω,opp
ὑποτρέω,opp
διελαύνω,opp
ἀντιτορέω,opp
ἀπορραίω,opp
σίζω,opp
γεύω,opp
κονίω,opp
προβιβάζω,opp
ἀτασθάλλω,opp
ἀποσκεδάννυμι,opp
πολεύω,opp
προιάλλω,opp
κεράω,opp
πίνω,opp
γεγωνέω,opp
μακαρίζω,opp
εἰσνοέω,opp
καθεύδω,opp
ἐπευφημέω,opp
χραύω,opp
προφέρω,opp
κινέω,opp
ἀμαθύνω,opp
ὀχλέω,opp
ἀνεγείρω,opp
πολίζω,opp
μενοινάω,opp
ἀπαίσσω,opp
κορέω,opp
ψεύδω,opp
τελέθω,opp
μέτειμι,opp
καθέννυμι,opp
καταπύθω,opp
εὕδω,opp
ἐκδέω,opp
ἀποθρώσκω,opp
δύω,opp
παραπνέω,opp
ἀπανύω,opp
ἀφραίνω,opp
διακοσμέω,opp
ὀχλίζω,opp
λάω,opp
συλλέγω,opp
μανθάνω,opp
περιτρέω,opp
ἐρίζω,opp
κείω,opp
ἐξόλλυμι,opp
ἐνέπω,opp
ὀφέλλω,opp
ἀτιτάλλω,opp
καταδύω,opp
ἐμπλήσσω,opp
ἐρείπω,opp
πλύνω,opp
ἐκφορέω,opp
σχίζω,opp
ἐνδέω,opp
ἔθω,opp
ἀποτέμνω,opp
ἀνερωτάω,opp
καταφλέγω,opp
παριαύω,opp
ἐξαποδύνω,opp
σεύω,opp
βρέμω,opp
ὀιζύω,opp
ἀπερωέω,opp
καταπίπτω,opp
γοάω,opp
ῥάπτω,opp
φεύγω,opp
πέκω,opp
κατακλίνω,opp
ἐπιβοάω,opp
ἐνιαύω,opp
ἀγαπάζω,opp
ὑδρεύω,opp
φλέγω,opp
ἰσάζω,opp
διφάω,opp
νοστέω,opp
λιπάω,opp
ἀποπροίημι,opp
πειρητίζω,opp
κνάω,opp
δοκεύω,opp
ἀποκοσμέω,opp
ἐκτανύω,opp
λάμπω,opp
κονέω,opp
ἀφίστημι,opp
προσφωνέω,opp
προσπίπτω,opp
μετρέω,opp
πεινάω,opp
ὑποζεύγνυμι,opp
δονέω,opp
ἐκτέμνω,opp
ἀνίστημι,opp
ἀπολείβω,opp
δάκνω,opp
μίγνυμι,opp
ἐπικίδνημι,opp
ναρκάω,opp
ἐρῶ,opp
ἀμαλδύνω,opp
παραφθάνω,opp
ἐνίπτω,opp
ἑλίσσω,opp
περιτίθημι,opp
ἱμείρω,opp
κατείβω,opp
ἐπερύω,opp
παραπλέω,opp
κλείω,opp
ἐγχέω,opp
διέχω,opp
συμφέρω,opp
καρκαίρω,opp
ἀναπετάννυμι,opp
ἁμαρτάνω,opp
δαιτρεύω,opp
ἐκστρέφω,opp
κυνέω,opp
πεσσεύω,opp
ἀναστενάχω,opp
τελέω,opp
εἰσφορέω,opp
δάπτω,opp
στόρνυμι,opp
βρίθω,opp
τῆ,opp
ἀρχεύω,opp
ῥέπω,opp
τρέχω,opp
προλείπω,opp
διαπορθέω,opp
ἀπαμύνω,opp
κατακλάω,opp
στενάχω,opp
φύρω,opp
εἰσφέρω,opp
μεταυδάω,opp
κυδιάω,opp
παραφεύγω,opp
βαθύνω,opp
ὀρύσσω,opp
ἀπαμάω,opp
πλάζω,opp
ἐκρήγνυμι,opp
κνυζόω,opp
μονόω,opp
θοινάω,opp
πελάζω,opp
ἀδέω,opp
φλεγέθω,opp
καταστυγέω,opp
ἐξαπονίζω,opp
ὀαρίζω,opp
εὐρύνω,opp
ἀμφιέπω,opp
ἐκφύω,opp
ἐξάπτω,opp
ὀρέγω,opp
νήχω,opp
καθέζετο,opp
ἐνήνοθε,opp
πίμπλημι,opp
ἀποστυφελίζω,opp
ὑπερκαταβαίνω,opp
ἐπαινέω,opp
κρίνω,opp
ποντοπορεύω,opp
ἀγείρω,opp
εἴλω,opp
καταδαρθάνω,opp
κρίζω,opp
ἐρέχθω,opp
ἀθλεύω,opp
παραμένω,opp
ἀναμορμύρω,opp
ἐξαφαιρέω,opp
ἀποθνήσκω,opp
τιτρώσκω,opp
μαργαίνω,opp
μεθαιρέω,opp
ἀσπαίρω,opp
ὕπειμι,opp
ἐπαυρέω,opp
σκεπάω,opp
χάζω,opp
ἀγλαίζω,opp
ἐξαπαφίσκω,opp
ἀφοπλίζω,opp
βιόω,opp
θρηνέω,opp
προσφύω,opp
τύφω,opp
ἐνιζάνω,opp
ὀπαδέω,opp
ἀπόλλυμι,opp
προφεύγω,opp
ἀποδειροτομέω,opp
νωμάω,opp
ἀποναίω,opp
μεταφράζω,opp
ἀνωθέω,opp
χαλιφρονέω,opp
προμαχίζω,opp
ῥίπτω,opp
μετοχλίζω,opp
κηκίω,opp
παράφημι,opp
ἐξελαύνω,opp
ἀπονίζω,opp
σώω,opp
κατακοιμάω,opp
διασχίζω,opp
διατμήγω,opp
συναείρω,opp
τέλλω,opp
ἐκσῴζω,opp
κατασχεθεῖν,opp
ὑλακτέω,opp
ἀμφαραβέω,opp
περιδύω,opp
ψαύω,opp
καθιζάνω,opp
σύνειμι,opp
εἶπον,opp
παραείρω,opp
ἀναπνέω,opp
μιμνάζω,opp
ἐξαναβαίνω,opp
προσαλείφω,opp
κατερητύω,opp
ὑποπερκάζω,opp
λωφάω,opp
μαστίω,opp
περιγνάμπτω,opp
χωρέω,opp
ἐπικεύθω,opp
ἀθλέω,opp
δινεύω,opp
θάω,opp
φωνέω,opp
ἀθερίζω,opp
ἐρεθίζω,opp
λείπω,opp
κορύσσω,opp
σήπω,opp
κρύπτω,opp
ἀνακαίω,opp
χηρόω,opp
μειδάω,opp
περιίστημι,opp
δρύπτω,opp
ἐξαιρέω,opp
παρέχω,opp
πνέω,opp
ἐκπίπτω,opp
κυβερνάω,opp
καταπαύω,opp
θέλγω,opp
ἀποείκω,opp
μέμαα,opp
ἐφανδάνω,opp
ἐντίθημι,opp
ἐπαλέξω,opp
σκυδμαίνω,opp
ἐγρήσσω,opp
μεταστρέφω,opp
ἐναραρίσκω,opp
προβοάω,opp
ἐπιδημεύω,opp
ἀνακοντίζω,opp
παραπαφίσκω,opp
ἐκλανθάνω,opp
ψευστέω,opp
πάλλω,opp
ἀρκέω,opp
ἀνατίθημι,opp
προσστείχω,opp
ἀράσσω,opp
ἐπιληκέω,opp
ἐγείρω,opp
ἐπιορκέω,opp
ὠχράω,opp
μύω,opp
ῥοιβδέω,opp
πάρειμι,opp
ἐπισεύω,opp
συνάγνυμι,opp
κολῳάω,opp
περιβαίνω,opp
κυδάνω,opp
παρεκπροφεύγω,opp
κραδαίνω,opp
κομέω,opp
κατέπεφνον,opp
ἀντιφερίζω,opp
ἐπισσεύω,opp
τιμάω,opp
οἰνοχοεύω,opp
καταπέσσω,opp
φαρμάσσω,opp
ἐκμυζάω,opp
παραείδω,opp
ἐπαιτέω,opp
ἀνακυμβαλιάζω,opp
οἰνόω,opp
ἀναβέβρυχε,opp
τείνω,opp
ἐκβαίνω,opp
περιτρέχω,opp
καναχίζω,opp
ἀκηδέω,opp
ἀποστρέφω,opp
ἐπιμηνίω,opp
βουλεύω,opp
νηπιαχεύω,opp
εἰσαφικάνω,opp
ἀεικίζω,opp
κύπτω,opp
ἀποθρῴσκω,opp
φθίω,opp
μινυρίζω,opp
κορυφόω,opp
ἀναθρῴσκω,opp
ἀπονέω,opp
ἐποπτεύω,opp
κτίζω,opp
ἀποκτείνω,opp
ἀνθέω,opp
μετάφημι,opp
ῥοχθέω,opp
πελεμίζω,opp
βουφονέω,opp
ἀλαστέω,opp
ἐπισείω,opp
ἐξοφέλλω,opp
ἀναμετρέω,opp
χηρεύω,opp
καταδεύω,opp
προβέβουλα,opp
σκαίρω,opp
φέρω,opp
ἐπιφράζω,opp
ἐμπίπλημι,opp
πρόσειμι,opp
κοιρανέω,opp
διαφύσσω,opp
ἄγνυμι,opp
τορέω,opp
ἐρέικω,opp
βαρύνω,opp
χαλέπτω,opp
ἐπινέω,opp
ὀπάζω,opp
ὑπεκφεύγω,opp
τρέω,opp
μάρπτω,opp
προέχω,opp
ἀλεγύνω,opp
ὑπορρήγνυμι,opp
ἀνέβραχε,opp
ἐπινεύω,opp
ὑποφαίνω,opp
ἠπύω,opp
φύω,opp
ὀχέω,opp
πτώσσω,opp
πείθω,opp
ἐργαθεῖν,opp
πόρω,opp
γλαυκιάω,opp
ἀκροκελαινιάω,opp
περιστένω,opp
διαπλήσσω,opp
γυμνόω,opp
κλέω,opp
ἕπω,opp
δοάσσατο,opp
τρυγάω,opp
βάπτω,opp
διδάσκω,opp
ἁρμόζω,opp
ἐρέω,opp
μεθίστημι,opp
ὑφίστημι,opp
ἡγεμονεύω,opp
κοιμάω,opp
ἐπιστρωφάω,opp
σπεύδω,opp
προερύω,opp
ἀνώγω,opp
ἐπιμειδάω,opp
ἀθύρω,opp
κεραίω,opp
κολούω,opp
μεγαίρω,opp
ἀναβάλλω,opp
ἀποπροαιρέω,opp
κελαδέω,opp
προεέργω,opp
ἐπινηνέω,opp
ἀμφιθέω,opp
ἐρωτάω,opp
ἵστημι,opp
χραισμέω,opp
κεραίζω,opp
ὀλιγοδρανέων,opp
λαμπετάω,opp
κήδω,opp
ἐπιβαίνω,opp
ἰσχανάω,opp
ἀποβαίνω,opp
ἀρτύω,opp
βροντάω,opp
αἱρέω,opp
σείω,opp
ἐπιγνάμπτω,opp
παππάζω,opp
φθονέω,opp
ἐρατίζω,opp
σβέννυμι,opp
καταισχύνω,opp
πατάσσω,opp
ἀπαυράω,opp
κυρτόω,opp
πλέω,opp
δαίζω,opp
στρέφω,opp
παραίσσω,opp
μειλίσσω,opp
ἐπαλλάσσω,opp
ἀμέλγω,opp
πτήσσω,opp
